"Protocol,""Percent Packets"",""Packets"",""Percent Bytes"",""Bytes"",""Bits/s"",""End Packets"",""End Bytes"",""End Bits/s"",""PDUs"""
"Frame,100,3449,100,2834701,642527.1953826078,0,0,0,3449"
"Ethernet,100,3449,1.7047300579496745,48324,10953.354230188346,0,0,0,3449"
"Internet Protocol Version 6,95.24499855030443,3285,4.635409519381409,131400,29783.766779379785,0,0,0,3285"
"User Datagram Protocol,50.21745433458974,1732,0.4887993477971751,13856,3140.6687404496674,0,0,0,1732"
"QUIC IETF,48.76775877065816,1682,48.62936161521092,1378497,312456.8733186811,1682,1365570,309526.7762626914,1712"
"Data,1.4496955639315743,50,0.29805612655444086,8449,1915.0916706162845,50,8449,1915.0916706162845,50"
"Transmission Control Protocol,44.96955639315744,1551,1.1154615601433802,31620,7167.14387796034,452,9640,2185.0495567216217,1551"
"Transport Layer Security,31.284430269643376,1079,41.168610022714915,1167007,264519.5153569533,1079,1167007,264519.5153569533,1079"
"Data,0.5798782255726298,20,0.8607609762017229,24400,5530.623359336885,20,24400,5530.623359336885,20"
"Internet Control Message Protocol v6,0.05798782255726297,2,0.0022577337080700926,64,14.506553073670519,2,64,14.506553073670519,2"
"Internet Protocol Version 4,4.581037982023775,158,0.11147560183596084,3160,716.2610580124818,0,0,0,158"
"User Datagram Protocol,4.001159756451146,138,0.0389459064642091,1104,250.23804052081644,0,0,0,138"
"Domain Name System,4.001159756451146,138,0.34345774034016285,9736,2206.809386332128,138,9736,2206.809386332128,138"
"Transmission Control Protocol,0.5798782255726298,20,0.014110835675438079,400,90.66595671044074,13,260,58.93287186178648,20"
"Transport Layer Security,0.2029573789504204,7,0.0227889996158325,646,146.4255200873618,7,646,146.4255200873618,7"
"Address Resolution Protocol,0.1739634676717889,6,0.005926550983683994,168,38.07970181838511,6,168,38.07970181838511,6"
"802.1Q Virtual LAN,31.4004059147579,1083,0.1529614587217488,4336,982.8189707411776,0,0,0,1083"
