"Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A"
"10.122.232.249,49845,""10.122.232.239"",53,2,173,0,1,74,1,99,3.472125,0.039968000000000004,14811,19815"
"10.122.232.249,49948,""10.122.232.239"",53,2,164,51,1,74,1,90,8.586435999999999,0.0038920000000004507,"""","""""
"10.122.232.249,50449,""10.122.232.239"",53,2,190,64,1,87,1,103,9.987395,0.05601200000000084,12425,14711"
"10.122.232.249,50902,""10.122.232.239"",53,2,166,71,1,75,1,91,10.281456,0.04055999999999926,14792,17948"
"10.122.232.249,51989,""10.122.232.239"",53,2,180,67,1,82,1,98,10.000266,0.04609899999999989,14230,17006"
"10.122.232.249,52019,""10.122.232.239"",53,2,193,17,1,84,1,109,6.121458,0.036934000000000466,18194,23609"
"10.122.232.249,52186,""10.122.232.239"",53,2,224,65,1,82,1,142,9.999379,0.04417700000000124,14849,25714"
"10.122.232.249,52661,""10.122.232.239"",53,2,199,45,1,75,1,124,8.571922,0.036462000000000216,16455,27206"
"10.122.232.249,52934,""10.122.232.239"",53,2,176,33,1,80,1,96,7.095758,0.033492999999999995,19108,22930"
"10.122.232.249,53041,""10.122.232.239"",53,2,196,31,1,90,1,106,7.091286,0.03755500000000023,19171,22580"
"10.122.232.249,53707,""10.122.232.239"",53,2,182,60,1,77,1,105,9.025609,0.005075000000001495,121379,165517"
"10.122.232.249,54035,""10.122.232.239"",53,2,225,21,1,84,1,141,6.566683,0.03653199999999934,18394,30877"
"10.122.232.249,54221,""10.122.232.239"",53,2,188,32,1,80,1,108,7.095271,0.03382699999999961,18919,25541"
"10.122.232.249,54277,""10.122.232.239"",53,2,443,49,1,75,1,368,8.585128,0.0038160000000004857,"""","""""
"10.122.232.249,55209,""10.122.232.239"",53,2,164,11,1,74,1,90,5.724499,0.004150000000000098,"""","""""
"10.122.232.249,55722,""10.122.232.239"",53,2,226,80,1,81,1,145,11.232499,0.04110399999999892,15764,28221"
"10.122.232.249,56676,""10.122.232.239"",53,2,226,25,1,88,1,138,6.60921,0.06749899999999975,10429,16355"
"10.122.232.249,56678,""10.122.232.239"",53,2,179,59,1,77,1,102,9.025229,0.042013999999999996,14661,19422"
"10.122.232.249,56726,""10.122.232.239"",53,2,255,78,1,81,1,174,11.231694,0.04190900000000042,15462,33214"
"10.122.232.249,57089,""10.122.232.239"",53,2,188,6,1,86,1,102,4.31267,0.035025000000000084,19643,23297"
"10.122.232.249,57113,""10.122.232.239"",53,2,176,50,1,74,1,102,8.58596,0.004367999999999483,"""","""""
"10.122.232.249,57204,""10.122.232.239"",53,2,164,9,1,74,1,90,5.723685,0.004052000000000611,"""","""""
"10.122.232.249,57430,""10.122.232.239"",53,2,176,1,1,74,1,102,3.472928,0.006375999999999937,92848,127979"
"10.122.232.249,57434,""10.122.232.239"",53,2,176,73,1,74,1,102,10.522977000000001,0.009815999999998937,60309,83129"
"10.122.232.249,57874,""10.122.232.239"",53,2,382,82,1,96,1,286,12.303351,0.05061000000000071,15174,45208"
"10.122.232.249,57988,""10.122.232.239"",53,2,199,62,1,87,1,112,9.98606,0.04689600000000027,14841,19106"
"10.122.232.249,58111,""10.122.232.239"",53,2,196,18,1,84,1,112,6.122158,0.03623400000000032,18546,24728"
"10.122.232.249,58288,""10.122.232.239"",53,2,320,53,1,94,1,226,8.607444,0.075272,9990,24019"
"10.122.232.249,58479,""10.122.232.239"",53,2,184,23,1,84,1,100,6.567321,0.03634000000000004,18492,22014"
"10.122.232.249,58644,""10.122.232.239"",53,2,366,52,1,94,1,272,8.606033,0.0675220000000003,11137,32226"
"10.122.232.249,58898,""10.122.232.239"",53,2,179,12,1,77,1,102,5.727521,0.046016999999999975,13386,17732"
"10.122.232.249,59101,""10.122.232.239"",53,2,170,61,1,77,1,93,9.025901,0.004783000000001536,"""","""""
"10.122.232.249,59102,""10.122.232.239"",53,2,202,63,1,87,1,115,9.986716,0.05649600000000099,12319,16284"
"10.122.232.249,59110,""10.122.232.239"",53,2,334,83,1,96,1,238,12.303695,0.05850000000000044,13128,32547"
"10.122.232.249,59248,""10.122.232.239"",53,2,256,40,1,78,1,178,7.949088,0.03961100000000073,15753,35949"
"10.122.232.249,59338,""10.122.232.239"",53,2,178,35,1,75,1,103,7.612925,0.04997700000000016,12005,16487"
"10.122.232.249,59646,""10.122.232.239"",53,2,164,2,1,74,1,90,3.473621,0.005682999999999883,104170,126693"
"10.122.232.249,59673,""10.122.232.239"",53,2,299,46,1,75,1,224,8.572527000000001,0.005929999999999325,101180,302192"
"10.122.232.249,59803,""10.122.232.239"",53,2,274,79,1,81,1,193,11.232144,0.04145899999999969,15629,37241"
"10.122.232.249,59934,""10.122.232.239"",53,2,207,69,1,75,1,132,10.280247,0.031671000000001115,18944,33342"
"10.122.232.249,60144,""10.122.232.239"",53,2,443,47,1,75,1,368,8.573022,0.005435000000000301,110395,541674"
"10.122.232.249,60150,""10.122.232.239"",53,2,312,54,1,94,1,218,8.608055,0.07466099999999898,10072,23358"
"10.122.232.249,60193,""10.122.232.239"",53,2,192,66,1,82,1,110,9.999891,0.046473999999999904,14115,18935"
"10.122.232.249,60344,""10.122.232.239"",53,2,199,56,1,71,1,128,9.021103,0.04575299999999949,12414,22381"
"10.122.232.249,60413,""10.122.232.239"",53,2,254,57,1,71,1,183,9.021708,0.045370999999999384,12519,32267"
"10.122.232.249,60441,""10.122.232.239"",53,2,440,43,1,75,1,365,8.20525,0.03732500000000094,16075,78231"
"10.122.232.249,60748,""10.122.232.239"",53,2,204,26,1,88,1,116,6.609532,0.06717700000000004,10479,13814"
"10.122.232.249,60875,""10.122.232.239"",53,2,170,14,1,77,1,93,5.728633,0.05354199999999931,11504,13895"
"10.122.232.249,61394,""10.122.232.239"",53,2,200,5,1,86,1,114,4.3124,0.026182999999999623,26276,34831"
"10.122.232.249,62376,""10.122.232.239"",53,2,296,42,1,75,1,221,8.204617,0.037653999999999854,15934,46953"
"10.122.232.249,62417,""10.122.232.239"",53,2,192,27,1,88,1,104,6.609784,0.06692499999999946,10519,12431"
"10.122.232.249,62424,""10.122.232.239"",53,2,182,13,1,77,1,105,5.728178,0.05399699999999985,11408,15556"
"10.122.232.249,62489,""10.122.232.239"",53,2,176,8,1,74,1,102,5.72312,0.004617000000000537,"""","""""
"10.122.232.249,62548,""10.122.232.239"",53,2,184,19,1,84,1,100,6.122942,0.03585900000000031,18740,22309"
"10.122.232.249,62566,""10.122.232.239"",53,2,178,70,1,75,1,103,10.280832,0.04118399999999944,14568,20007"
"10.122.232.249,62840,""10.122.232.239"",53,2,199,41,1,75,1,124,8.203825,0.038446000000000424,15606,25802"
"10.122.232.249,62853,""10.122.232.239"",53,2,302,58,1,71,1,231,9.022243,0.04499999999999993,12622,41066"
"10.122.232.249,63091,""10.122.232.239"",53,2,166,36,1,75,1,91,7.613411,0.04949099999999973,12123,14709"
"10.122.232.249,63390,""10.122.232.239"",53,2,196,22,1,84,1,112,6.567032,0.03618299999999941,18572,24763"
"10.122.232.249,63412,""10.122.232.239"",53,2,164,74,1,74,1,90,10.523131,0.009662000000000504,61270,74518"
"10.122.232.249,63622,""10.122.232.239"",53,2,200,34,1,75,1,125,7.612388,0.050513999999999726,11877,19796"
"10.122.232.249,64071,""10.122.232.239"",53,2,176,10,1,74,1,102,5.724184,0.0037560000000000926,"""","""""
"10.122.232.249,64144,""10.122.232.239"",53,2,208,30,1,90,1,118,7.090751,0.0380900000000004,18902,24783"
"10.122.232.249,64187,""10.122.232.239"",53,2,173,72,1,74,1,99,10.522757,0.04119200000000056,14371,19227"
"10.122.232.249,64540,""10.122.232.239"",53,2,257,38,1,78,1,179,7.947715,0.04044100000000039,15429,35409"
"10.122.232.249,64638,""10.122.232.239"",53,2,229,4,1,86,1,143,4.312092,0.026491000000000042,25971,43184"
"10.122.232.249,64820,""10.122.232.239"",53,2,280,39,1,78,1,202,7.9485,0.039655999999999914,15735,40750"
"10.122.232.249,64949,""10.122.232.239"",53,2,322,84,1,96,1,226,12.303976,0.058218999999999355,13191,31055"
"10.122.232.249,65427,""10.122.232.239"",53,2,299,48,1,75,1,224,8.584562,0.004381999999999664,"""","""""
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,59511,""2001:4860:4802:36::223"",443,17,12353,81,7,4377,10,7976,11.481855,0.15450400000000108,226634,412986"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,61262,""2404:6800:4000:1025::5b"",443,97,72518,55,41,20651,56,51867,9.014914,3.7749830000000006,43763,109917"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,60495,""2404:6800:4002:804::2008"",443,33,18479,24,15,7051,18,11428,6.606046,0.3765729999999996,149793,242778"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,49157,""2404:6800:4002:807::200e"",443,60,37476,7,27,8526,33,28950,4.350347,3.1271179999999994,21811,74061"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,53179,""2404:6800:4002:80b::2003"",443,26,18121,15,13,6265,13,11856,5.785658,0.1996039999999999,251097,475180"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,60571,""2404:6800:4002:81a::200e"",443,21,9635,37,9,4705,12,4930,7.666625,0.3756959999999996,100187,104978"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,52106,""2404:6800:4002:81c::2003"",443,19,13719,75,8,4496,11,9223,10.673713,0.20878300000000038,172274,353400"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,62180,""2404:6800:4002:829::200a"",443,23,13488,29,9,6859,14,6629,6.680203,0.402647,136278,131708"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,61850,""2404:6800:4002:82a::2002"",443,31,19909,68,15,7103,16,12806,10.046312,0.3428919999999991,165719,298776"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,51203,""2404:6800:4002:831::2004"",443,2,179,76,1,91,1,88,10.687202,0.10921400000000148,6665,6446"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,61033,""2404:6800:4002:831::2004"",443,1149,1112163,3,226,54849,923,1057314,3.506565,5.870334,74747,1440891"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,62899,""2404:6800:4002:831::2004"",443,114,96896,28,39,9407,75,87489,6.631086,0.29846200000000067,252146,2345062"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,51284,""2404:6800:4009:826::200e"",443,51,36040,44,22,7895,29,28145,8.245706,0.4000989999999991,157860,562760"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,61437,""2600:140f:6::1729:ba5b"",443,37,3303,16,20,1829,17,1474,6.010276,29.284117999999996,499,402"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,63274,""2606:4700:83b2:7cbc:c2c6:ed5:5ff2:75c4"",443,11,8067,77,7,6778,4,1289,11.096934,0.10468900000000048,517953,98501"
"2409:40f4:411a:6519:9c1b:b691:e5b1:9476,51934,""64:ff9b::d83a:c462"",443,41,22632,20,19,8478,22,14154,6.162324,0.6634590000000005,102227,170669"
